,NVDA
2010-01-04,0.4238543212413788
2010-01-05,0.43004363775253296
2010-01-06,0.43279433250427246
2010-01-07,0.42431262135505676
2010-01-08,0.42522957921028137
2010-01-09,0.42522957921028137
2010-01-10,0.42522957921028137
2010-01-11,0.4192694127559662
2010-01-12,0.40505698323249817
2010-01-13,0.4105587303638458
2010-01-14,0.40414005517959595
2010-01-15,0.3922197222709656
2010-01-16,0.3922197222709656
2010-01-17,0.3922197222709656
2010-01-18,0.3922197222709656
2010-01-19,0.39955538511276245
2010-01-20,0.397950679063797
2010-01-21,0.39084434509277344
2010-01-22,0.3773195445537567
2010-01-23,0.3773195445537567
2010-01-24,0.3773195445537567
2010-01-25,0.38373813033103943
2010-01-26,0.3715887665748596
2010-01-27,0.38167518377304077
2010-01-28,0.36883804202079773
2010-01-29,0.3527916371822357
2010-01-30,0.3527916371822357
2010-01-31,0.3527916371822357
2010-02-01,0.379841148853302
2010-02-02,0.38373813033103943
2010-02-03,0.38694751262664795
2010-02-04,0.36448243260383606
2010-02-05,0.3718179166316986
2010-02-06,0.3718179166316986
2010-02-07,0.3718179166316986
2010-02-08,0.3711302578449249
2010-02-09,0.36815041303634644
2010-02-10,0.37525659799575806
2010-02-11,0.3924490809440613
2010-02-12,0.3977215886116028
2010-02-13,0.3977215886116028
2010-02-14,0.3977215886116028
2010-02-15,0.3977215886116028
2010-02-16,0.40505698323249817
2010-02-17,0.408953994512558
2010-02-18,0.3821336030960083
2010-02-19,0.3800705075263977
2010-02-20,0.3800705075263977
2010-02-21,0.3800705075263977
2010-02-22,0.380758136510849
2010-02-23,0.3715887665748596
2010-02-24,0.379382848739624
2010-02-25,0.3759442865848541
2010-02-26,0.3713597059249878
2010-02-27,0.3713597059249878
2010-02-28,0.3713597059249878
2010-03-01,0.3862597346305847
2010-03-02,0.38603049516677856
2010-03-03,0.3812166452407837
2010-03-04,0.38190433382987976
2010-03-05,0.3935953378677368
2010-03-06,0.3935953378677368
2010-03-07,0.3935953378677368
2010-03-08,0.3878643810749054
2010-03-09,0.4023062288761139
2010-03-10,0.4032231569290161
2010-03-11,0.39405375719070435
2010-03-12,0.39542925357818604
2010-03-13,0.39542925357818604
2010-03-14,0.39542925357818604
2010-03-15,0.39336609840393066
2010-03-16,0.4071201682090759
2010-03-17,0.4149141013622284
2010-03-18,0.40024301409721375
2010-03-19,0.39542925357818604
2010-03-20,0.39542925357818604
2010-03-21,0.39542925357818604
2010-03-22,0.4018476903438568
2010-03-23,0.41010016202926636
2010-03-24,0.3963460624217987
2010-03-25,0.39749228954315186
2010-03-26,0.39749228954315186
2010-03-27,0.39749228954315186
2010-03-28,0.39749228954315186
2010-03-29,0.40253543853759766
2010-03-30,0.40414005517959595
2010-03-31,0.3988676071166992
2010-04-01,0.3947415053844452
2010-04-02,0.3947415053844452
2010-04-03,0.3947415053844452
2010-04-04,0.3947415053844452
2010-04-05,0.400701642036438
2010-04-06,0.39084434509277344
2010-04-07,0.39336609840393066
2010-04-08,0.38694751262664795
2010-04-09,0.38946908712387085
2010-04-10,0.38946908712387085
2010-04-11,0.38946908712387085
2010-04-12,0.39657533168792725
2010-04-13,0.40482786297798157
2010-04-14,0.4098709523677826
2010-04-15,0.4128509759902954
2010-04-16,0.39107364416122437
2010-04-17,0.39107364416122437
2010-04-18,0.39107364416122437
2010-04-19,0.3892398774623871
2010-04-20,0.39061522483825684
2010-04-21,0.38052898645401
2010-04-22,0.3821336030960083
2010-04-23,0.37686118483543396
2010-04-24,0.37686118483543396
2010-04-25,0.37686118483543396
2010-04-26,0.38052898645401
2010-04-27,0.36975494027137756
2010-04-28,0.37044256925582886
2010-04-29,0.38167518377304077
2010-04-30,0.3601270318031311
2010-05-01,0.3601270318031311
2010-05-02,0.3601270318031311
2010-05-03,0.3562301993370056
2010-05-04,0.33812060952186584
2010-05-05,0.33238983154296875
2010-05-06,0.32551267743110657
2010-05-07,0.3200110197067261
2010-05-08,0.3200110197067261
2010-05-09,0.3200110197067261
2010-05-10,0.3337652087211609
2010-05-11,0.33009740710258484
2010-05-12,0.33651599287986755
2010-05-13,0.3358282744884491
2010-05-14,0.2970876395702362
2010-05-15,0.2970876395702362
2010-05-16,0.2970876395702362
2010-05-17,0.2977753281593323
2010-05-18,0.2879182696342468
2010-05-19,0.2925029695034027
2010-05-20,0.2856259346008301
2010-05-21,0.2918151617050171
