timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2017-12-31T00:00:00.000Z";"2017-12-31T23:59:59.999Z";"2017-12-31T02:59:12.000Z";"2017-12-31T00:19:12.000Z";"2781";2376.9599609375;2627.9499511719;2350.0300292969;2533.0100097656;1300819968;42774211629.6;"2017-12-31T23:59:59.999Z"
"2017-12-30T00:00:00.000Z";"2017-12-30T23:59:59.999Z";"2017-12-30T00:04:12.000Z";"2017-12-30T16:49:13.000Z";"2781";2791.5500488281;2791.5500488281;2329.4699707031;2392.4099121094;1257760000;40395783039.8;"2017-12-30T23:59:59.999Z"
"2017-12-29T00:00:00.000Z";"2017-12-29T23:59:59.999Z";"2017-12-29T16:04:12.000Z";"2017-12-29T11:04:12.000Z";"2781";2587.3000488281;2922.4099121094;2389.0400390625;2779.9499511719;2479419904;46933895850;"2017-12-29T23:59:59.999Z"
"2017-12-28T00:00:00.000Z";"2017-12-28T23:59:59.999Z";"2017-12-28T00:09:12.000Z";"2017-12-28T19:09:12.000Z";"2781";2888.6398925781;2896.7800292969;2481.3000488281;2566.6398925781;3221299968;43328187749;"2017-12-28T23:59:59.999Z"
"2017-12-27T00:00:00.000Z";"2017-12-27T23:59:59.999Z";"2017-12-27T00:04:13.000Z";"2017-12-27T20:44:12.000Z";"2781";3108.3200683594;3108.3200683594;2771.0500488281;2889.5200195313;1406450048;48773544483;"2017-12-27T23:59:59.999Z"
"2017-12-26T00:00:00.000Z";"2017-12-26T23:59:59.999Z";"2017-12-26T23:39:13.000Z";"2017-12-26T03:09:13.000Z";"2781";2947.7399902344;3112.6398925781;2915.8000488281;3108.8898925781;1544429952;52470912753;"2017-12-26T23:59:59.999Z"
"2017-12-25T00:00:00.000Z";"2017-12-25T23:59:59.999Z";"2017-12-25T12:49:13.000Z";"2017-12-25T04:09:12.000Z";"2781";2929.3500976563;3099.6201171875;2755.6000976563;2954.6899414063;1355440000;49863052971;"2017-12-25T23:59:59.999Z"
"2017-12-24T00:00:00.000Z";"2017-12-24T23:59:59.999Z";"2017-12-24T00:04:42.000Z";"2017-12-24T12:54:39.000Z";"2781";3260.5500488281;3260.5500488281;2573.4399414063;2903.1201171875;1712160000;48988190394;"2017-12-24T23:59:59.999Z"
"2017-12-23T00:00:00.000Z";"2017-12-23T23:59:59.999Z";"2017-12-23T14:24:57.000Z";"2017-12-23T00:54:29.000Z";"2781";2746.9499511719;3479.7099609375;2684.8200683594;3257.080078125;2843310080;54954593738;"2017-12-23T23:59:59.999Z"
"2017-12-22T00:00:00.000Z";"2017-12-22T23:59:59.999Z";"2017-12-22T00:19:30.000Z";"2017-12-22T14:29:43.000Z";"2781";3324;3369.5500488281;1938.3599853516;2696.6899414063;3877769984;45494171558.8;"2017-12-22T23:59:59.999Z"
"2017-12-21T00:00:00.000Z";"2017-12-21T23:59:59.999Z";"2017-12-21T00:04:28.000Z";"2017-12-21T15:59:58.000Z";"2781";3909;3909;3038.0100097656;3267.169921875;3664329984;55113237296;"2017-12-21T23:59:59.999Z"
"2017-12-20T00:00:00.000Z";"2017-12-20T23:59:59.999Z";"2017-12-20T16:59:35.000Z";"2017-12-20T00:04:30.000Z";"2781";2825.0300292969;4355.6201171875;2825.0300292969;3923.0700683594;11889600512;66171059188.9;"2017-12-20T23:59:59.999Z"
"2017-12-19T00:00:00.000Z";"2017-12-19T23:59:59.999Z";"2017-12-19T23:34:27.000Z";"2017-12-19T05:04:55.000Z";"2781";2199.0600585938;2918.9299316406;2160.919921875;2805.8898925781;3913339904;47321685586.2;"2017-12-19T23:59:59.999Z"
"2017-12-18T00:00:00.000Z";"2017-12-18T23:59:59.999Z";"2017-12-18T16:54:57.000Z";"2017-12-18T03:19:39.000Z";"2781";1869.2099609375;2353.6398925781;1799.1199951172;2196.6398925781;2538650112;37042462022;"2017-12-18T23:59:59.999Z"
"2017-12-17T00:00:00.000Z";"2017-12-17T23:59:59.999Z";"2017-12-17T09:04:41.000Z";"2017-12-17T04:04:43.000Z";"2781";1812.3299560547;1939.9300537109;1806.6500244141;1862.8800048828;1020590016;31410042966;"2017-12-17T23:59:59.999Z"
"2017-12-16T00:00:00.000Z";"2017-12-16T23:59:59.999Z";"2017-12-16T03:44:42.000Z";"2017-12-16T19:59:44.000Z";"2781";1824.8499755859;1890.0600585938;1769.5;1801.8800048828;971254976;30378232772.5;"2017-12-16T23:59:59.999Z"
"2017-12-15T00:00:00.000Z";"2017-12-15T23:59:59.999Z";"2017-12-15T00:04:42.000Z";"2017-12-15T10:34:38.000Z";"2781";1974.6600341797;1974.6600341797;1678.0600585938;1815.4300537109;1457229952;30603860846.6;"2017-12-15T23:59:59.999Z"
"2017-12-14T00:00:00.000Z";"2017-12-14T23:59:59.999Z";"2017-12-14T06:59:39.000Z";"2017-12-14T00:09:39.000Z";"2781";1600.6700439453;2080.4099121094;1593.1500244141;1966.1400146484;2717410048;33141132956.2;"2017-12-14T23:59:59.999Z"
"2017-12-13T00:00:00.000Z";"2017-12-13T23:59:59.999Z";"2017-12-13T16:04:40.000Z";"2017-12-13T02:54:33.000Z";"2781";1616.9899902344;1702.5300292969;1497.9399414063;1607.6500244141;1245190016;27095413482.5;"2017-12-13T23:59:59.999Z"
"2017-12-12T00:00:00.000Z";"2017-12-12T23:59:59.999Z";"2017-12-12T21:54:44.000Z";"2017-12-12T00:04:40.000Z";"2781";1427.3800048828;1638.2900390625;1427.3800048828;1615.0300292969;1386249984;27216606687.2;"2017-12-12T23:59:59.999Z"
"2017-12-11T00:00:00.000Z";"2017-12-11T23:59:59.999Z";"2017-12-11T18:34:39.000Z";"2017-12-11T00:14:31.000Z";"2781";1320;1453.4899902344;1316.8499755859;1423.3800048828;922792000;23984344429.5;"2017-12-11T23:59:59.999Z"
"2017-12-10T00:00:00.000Z";"2017-12-10T23:59:59.999Z";"2017-12-10T00:04:33.000Z";"2017-12-10T04:09:36.000Z";"2781";1411.8399658203;1411.8399658203;1226.2099609375;1323.0699462891;885886016;22291645664.8;"2017-12-10T23:59:59.999Z"
